query_id,text,educational,diagnostic,crisis,source,gold_label
SRH075,Why have menstruation twice a month,1,0,0,real,educational
SRH076,"About delayed cycles,",1,1,0,real,"diagnostic,educational"
SRH077,Can Contraptives cause birth defects,1,0,0,real,educational
SRH078,Can contraceptive lead to pregnancy difficulties,1,0,0,real,educational
SRH079,Does a man go through mesopause?,1,0,0,real,educational
SRH080,Does an IUD insertion hurts or results to bleeding?,1,0,0,real,educational
SRH081,Cintraceptives,1,0,0,real,educational
SRH082,Sexual wellness,1,0,0,real,educational
SRH083,Sexually transmitted diseases,1,1,0,real,"diagnostic,educational"
SRH084,How does baby grow,1,1,0,real,"diagnostic,educational"
SRH085,How STI can be contacted,1,0,0,real,educational
SRH086,The cure and danger in STI,1,1,1,real,"crisis,diagnostic,educational"
SRH087,How to abstain from sexual activity.,1,0,0,real,educational
SRH088,When it's ok to start having sexual engagement,1,0,0,real,educational
SRH089,Who to be involve with,1,0,0,real,educational
SRH090,What is PMOS and how can someone with it live better to work against it effects?,1,0,0,real,educational
SRH091,What is the negativity regarding Cesarean section and how can we work against educating people on it and making them understand that it doesn’t make anyone less for going through with the procedure?,1,0,0,real,educational
SRH092,"How does the male lifestyle/sperm and female lifestyle affect the period of pregnancy on a woman which includes her body internally, physical features and risks in child bearing.",1,0,0,real,educational
SRH093,About AVN,1,1,0,real,"diagnostic,educational"
SRH094,"Does a patner's consent mandatory before sex?
2.How can one prevent sexual transmitted disease when the other person refuses treatment.",1,0,0,real,educational
SRH095,Is it valid to ask for a divorce it couples are not sexualy compatible.,1,0,0,real,educational
SRH096,What is reproductive health,1,0,0,real,educational
SRH097,How can one know a healthy body,1,1,0,real,"diagnostic,educational"
SRH098,Prevention of health disease,1,0,0,real,educational
SRH099,What are the safest and most effective methods of preventing pregnancy?,1,0,0,real,educational
SRH100,"Is it true that if someone doesn't have sex for a long period of time, the person will develop some health issues?",1,0,0,real,educational
SRH101,How to know ur safe zone when menstruation,1,0,0,real,educational
SRH102,What is ovarian cyst?,1,1,1,real,"crisis,diagnostic,educational"
SRH103,What can one do to heal from ovarian cyst?,1,1,0,real,"diagnostic,educational"
SRH104,How can females prevent ovarian cyst,1,1,0,real,"diagnostic,educational"
SRH105,How to prevent pregnancy after giving birth to first child while having sex,1,0,0,real,educational
SRH106,1.What are behaviours or habits I should begin in my 20s that could help prevent health challenges in relation to my reproductive health in my later life?,1,0,0,real,educational
SRH107,"2.There is no scientific prove that having sex at a young age is bad, but how do I explain and encourage my younger sisters without making it sound like it's all about religion, that they should abstain from it?",1,0,0,real,educational
SRH108,"3.How do young Muslim women navigate the intersection of religious identity and hypersexuality, and what psychological or spiritual coping mechanisms are most effective for resolving the resulting identity conflict?",1,0,1,real,"crisis,educational"
SRH109,Why do women get ovarian cancer and how can they avoid it,1,1,0,real,"diagnostic,educational"
SRH110,How to help prevent bloating,1,1,0,real,"diagnostic,educational"
SRH111,How to reduce pain in menstrual period,1,0,0,real,educational
SRH112,What increases sexually transmitted infections.,1,0,0,real,educational
SRH113,What causes delay in pregnancy.,1,1,0,real,"diagnostic,educational"
SRH114,What leads to unwanted pregnancy,1,0,0,real,educational
SRH115,"Infection, hormonal imbalance",1,1,0,real,"diagnostic,educational"
SRH116,How can PCOS be treated and infertility issues,1,1,1,real,"crisis,diagnostic,educational"
SRH117,Reproduction,1,1,0,real,"diagnostic,educational"
SRH118,Fertility,1,1,1,real,"crisis,diagnostic,educational"
SRH119,What are the most effective methods of preventing pregnancy and STIs?,1,1,0,real,"diagnostic,educational"
SRH120,How do I know if changes in my menstrual cycle are normal or if I should see a healthcare provider?,1,1,0,real,"diagnostic,educational"
SRH121,"What are the signs of a healthy relationship, and how can I recognize unhealthy or abusive behavior?",1,0,1,real,"crisis,educational"
SRH122,"Pregnancy, menstruation, how to take care of my skin",1,1,0,real,"diagnostic,educational"
SRH123,"Question regarding contraception, sexual transmitted diseases and child birth",1,1,0,real,"diagnostic,educational"
SRH124,What does consent look like in a healthy relationship,1,0,0,real,educational
SRH125,and how can I communicate my boundaries effectively?,1,0,0,real,educational
SRH126,Why do my vjay itch me atimes,1,1,1,real,"crisis,diagnostic,educational"
SRH127,why dose it smell and I wash it every day,1,1,1,real,"crisis,diagnostic,educational"
SRH128,how do I clear bumps on my private part and I try my best to get rid of armpit odor,1,1,1,real,"crisis,diagnostic,educational"
SRH129,menstruation,1,0,0,real,educational
SRH130,how to take care of my skin,1,1,1,real,"crisis,diagnostic,educational"
SRH131,"I have been having this yellowish discharge for almost two weeks now and it has a strange smell, is something wrong with me?",1,1,1,real,"crisis,diagnostic,educational"
SRH132,"My period has not come for almost two months and I am not pregnant, what could be happening to my body?",1,1,1,real,"crisis,diagnostic,educational"
SRH133,"I feel a sharp burning sensation every time I urinate and it started after I was with someone, should I be worried?",1,1,1,real,"crisis,diagnostic,educational"
SRH134,"There is a small painful lump near my private area and I do not know what it is, what should I do?",1,1,1,real,"crisis,diagnostic,educational"
SRH135,"I have been having stomach cramps that are not related to my period and they come and go, what could be causing this?",1,1,1,real,"crisis,diagnostic,educational"
SRH136,"My boyfriend told me he has an infection and I am scared I might have caught something from him, how do I know if I have it too?",1,1,1,real,"crisis,diagnostic,educational"
SRH137,"I noticed some small bumps around my private parts that were not there before, I am too embarrassed to go to a clinic, what are they?",1,1,1,real,"crisis,diagnostic,educational"
SRH138,"I had unprotected sex three weeks ago and now I have a rash on my body, could this be related?",1,1,1,real,"crisis,diagnostic,educational"
SRH139,"My period comes every two weeks instead of every month and the bleeding is very heavy, is this normal for someone my age?",1,1,1,real,"crisis,diagnostic,educational"
SRH140,I have been feeling pain during sex and I do not know if it is normal or if something is wrong with me inside?,1,1,1,real,"crisis,diagnostic,educational"
SRH141,"I took the morning after pill but my period is now two weeks late and I am very anxious, what is happening?",1,1,0,real,"diagnostic,educational"
SRH142,"There is itching and redness around my private area that has been there for about a week, what could be causing it?",1,1,1,real,"crisis,diagnostic,educational"
SRH143,"I have never been tested for anything before and I am worried because I have had more than one partner, how do I know if I am clean?",1,1,0,real,"diagnostic,educational"
SRH144,"I had sex for the first time last month and since then I have been having pain in my lower abdomen, is this connected?",1,1,0,real,"diagnostic,educational"
SRH145,"My breasts have been very tender and sore for the past two weeks and I do not know why, should I be concerned?",1,1,0,real,"diagnostic,educational"
SRH146,"I noticed my discharge has changed colour and consistency recently, I do not know if I should see a doctor or if it is normal?",1,1,1,real,"crisis,diagnostic,educational"
SRH147,I think I may have gotten something from someone but I am too scared to go to the hospital because my parents might find out?,1,1,1,real,"crisis,diagnostic,educational"
SRH148,"I have been having headaches and dizziness since I started taking a contraceptive pill my friend gave me, is this dangerous?",1,1,0,real,"diagnostic,educational"
SRH149,"After my last relationship ended I noticed some sores appeared down there, could this be an STI and how long does it take for symptoms to show?",1,1,1,real,"crisis,diagnostic,educational"
SRH150,"I am 19 and my periods have been very irregular since I started having sex, my friend said this is normal but I am not sure?",1,1,1,real,"crisis,diagnostic,educational"
SRH151,Something happened to me at a party last week that I did not agree to and I do not know who to talk to or what to do about it?,1,0,1,real,"crisis,educational"
SRH152,"I am pregnant and I am only 17, my boyfriend has disappeared and my parents are very strict, I am scared and I do not know what to do?",1,0,1,real,"crisis,educational"
SRH153,My uncle has been touching me in ways that make me uncomfortable and I am scared to tell anyone because no one will believe me?,1,0,1,real,"crisis,educational"
SRH154,I was forced to have sex by someone I trusted and I have been keeping it to myself for months because I am ashamed?,1,1,1,real,"crisis,diagnostic,educational"
SRH155,"I think I might be pregnant and if my family finds out they will throw me out of the house, I am panicking and do not know where to turn?",1,0,1,real,"crisis,educational"
SRH156,"Someone sent my private pictures to other people without my permission and now I am being threatened, I do not know what to do?",1,0,1,real,"crisis,educational"
SRH157,I feel like I cannot tell anyone about what happened to me because in my community this kind of thing is seen as the girl's fault?,1,0,1,real,"crisis,educational"
SRH158,"A man at my workplace has been forcing himself on me and threatening my job if I tell anyone, I am scared and need help?",1,0,1,real,"crisis,educational"
SRH159,"I have been in a relationship where my partner forces me to have sex even when I say no, I did not know this was wrong until recently?",1,0,1,real,"crisis,educational"
SRH160,"I am 16 and an older man has been giving me money and now he is pressuring me to do things I am not comfortable with, I feel trapped?",1,0,1,real,"crisis,educational"
SRH161,What happened to me last month was not my fault right? I said no but he did not stop and now I am afraid to talk about it with anyone?,1,0,1,real,"crisis,educational"
SRH162,"I think someone put something in my drink at a party and I woke up not knowing what happened, I am very confused and scared?",1,1,1,real,"crisis,diagnostic,educational"
SRH163,"I am three months pregnant and the person responsible is denying everything, my family does not know and I feel completely alone?",1,0,1,real,"crisis,educational"
SRH164,"My boyfriend beats me sometimes and also forces me to have sex with him, I am scared to leave because he says he will hurt me?",0,0,1,real,crisis
SRH165,"I feel like my life is over since what happened to me, I have not been able to sleep or eat properly and I do not want to talk to anyone?",1,0,1,real,"crisis,educational"
SRH166,Someone in my family has been abusing me for a long time and I am finally ready to tell someone but I do not know how or where to start?,1,1,1,real,"crisis,diagnostic,educational"
SRH167,"I am a young girl and a teacher at my school has been making sexual advances towards me and touching me inappropriately, what do I do?",1,0,1,real,"crisis,educational"
SRH168,"I feel so ashamed about what happened that I have been thinking about hurting myself, I do not know who to talk to?",1,0,1,real,"crisis,educational"
SRH169,I was assaulted by a group of boys I know and I am too terrified to go to the police because they said they will do worse if I report?,1,0,1,real,"crisis,educational"
SRH170,I found out I am pregnant from an assault and I do not know what my options are or who can help me without judging me?,1,1,1,real,"crisis,diagnostic,educational"
SRH171,What exactly happens to a girl's body during puberty and is it normal for it to happen at different ages for different people?,1,0,0,real,educational
SRH172,Can a girl get pregnant the very first time she has sex or does it take multiple times before pregnancy can happen?,1,0,0,real,educational
SRH173,What is the difference between an STI and an STD and are they the same thing?,1,0,0,real,educational
SRH174,How effective is the contraceptive injection compared to the pill and which one is better for someone my age?,1,1,0,real,"diagnostic,educational"
SRH175,If a condom breaks during sex what are the steps I should take immediately afterwards?,1,1,0,real,"diagnostic,educational"
SRH176,What does it mean when people say someone is HIV positive and can a person look healthy and still have HIV?,1,0,0,real,educational
SRH177,Is it true that you cannot get pregnant during your period or is that just a myth?,1,0,0,real,educational
SRH178,How long after unprotected sex can you still take the morning after pill and does it always work?,1,0,0,real,educational
SRH179,What are the signs that someone might have a sexually transmitted infection even if they feel completely fine?,1,1,0,real,"diagnostic,educational"
SRH180,Can STIs be cured completely or do some of them stay with you forever once you have them?,1,1,0,real,"diagnostic,educational"
SRH181,What is consent and how do you know if you have properly given consent to something?,1,0,0,real,educational
SRH182,Is it normal to feel pain during your first time having sex and how long does that usually last?,1,1,0,real,"diagnostic,educational"
SRH183,What is the safest form of contraception for a young person who has never used contraception before?,1,0,0,real,educational
SRH184,Can a person get an STI from oral sex or only from penetrative sex?,1,0,0,real,educational
SRH185,What are possible causes of infertility in virgins?,1,1,0,real,"diagnostic,educational"
SRH186,Ways to prevent sexually transmitted diseases,1,0,0,real,educational
SRH187,How to prevent STIs,1,0,0,real,educational
SRH188,Pregnancy and how Menstrual calculations help,1,0,0,real,educational
SRH189,Contraceptives and their side effects,1,0,0,real,educational
SRH190,Factors that can or will impact delayed menstruation,1,1,0,real,"diagnostic,educational"
SRH191,Design of sexual content for girls and women reproductive and sex organs,1,1,0,real,"diagnostic,educational"
SRH192,Safe sex,1,0,0,real,educational
SRH193,"What are the most effective methods of contraception, and how do they work?",1,0,0,real,educational
SRH194,"What are the common symptoms of sexually transmitted infections (STIs), and when should I get tested?",1,1,0,real,"diagnostic,educational"
SRH195,How can I identify a healthy relationship and understand consent better?,1,0,0,real,educational
SRH196,What should I know about pregnancy prevention and reproductive health?,1,0,0,real,educational
SRH197,A lot of questions,1,0,0,real,educational
SYN001,"I have been having this yellowish discharge for almost two weeks now and it has a strange smell, is something wrong with me?",0,1,0,synthetic,diagnostic
SYN002,"My period has not come for almost two months and I am not pregnant, what could be happening to my body?",0,1,0,synthetic,diagnostic
SYN003,"I feel a sharp burning sensation every time I urinate and it started after I was with someone, should I be worried?",0,1,0,synthetic,diagnostic
SYN004,"There is a small painful lump near my private area and I do not know what it is, what should I do?",0,1,0,synthetic,diagnostic
SYN005,"I have been having stomach cramps that are not related to my period and they come and go, what could be causing this?",0,1,0,synthetic,diagnostic
SYN006,"My boyfriend told me he has an infection and I am scared I might have caught something from him, how do I know if I have it too?",0,1,0,synthetic,diagnostic
SYN007,"I noticed some small bumps around my private parts that were not there before, I am too embarrassed to go to a clinic, what are they?",0,1,0,synthetic,diagnostic
SYN008,"I had unprotected sex three weeks ago and now I have a rash on my body, could this be related?",0,1,0,synthetic,diagnostic
SYN009,"My period comes every two weeks instead of every month and the bleeding is very heavy, is this normal for someone my age?",0,1,0,synthetic,diagnostic
SYN010,I have been feeling pain during sex and I do not know if it is normal or if something is wrong with me inside?,0,1,0,synthetic,diagnostic
SYN011,"I took the morning after pill but my period is now two weeks late and I am very anxious, what is happening?",0,1,0,synthetic,diagnostic
SYN012,"There is itching and redness around my private area that has been there for about a week, what could be causing it?",0,1,0,synthetic,diagnostic
SYN013,"I have never been tested for anything before and I am worried because I have had more than one partner, how do I know if I am clean?",0,1,0,synthetic,diagnostic
SYN014,"I had sex for the first time last month and since then I have been having pain in my lower abdomen, is this connected?",0,1,0,synthetic,diagnostic
SYN015,"My breasts have been very tender and sore for the past two weeks and I do not know why, should I be concerned?",0,1,0,synthetic,diagnostic
SYN016,"I noticed my discharge has changed colour and consistency recently, I do not know if I should see a doctor or if it is normal?",0,1,0,synthetic,diagnostic
SYN017,I think I may have gotten something from someone but I am too scared to go to the hospital because my parents might find out?,0,1,0,synthetic,diagnostic
SYN018,"I have been having headaches and dizziness since I started taking a contraceptive pill my friend gave me, is this dangerous?",0,1,0,synthetic,diagnostic
SYN019,"After my last relationship ended I noticed some sores appeared down there, could this be an STI and how long does it take for symptoms to show?",0,1,0,synthetic,diagnostic
SYN020,"I am 19 and my periods have been very irregular since I started having sex, my friend said this is normal but I am not sure?",0,1,0,synthetic,diagnostic
SYN021,Something happened to me at a party last week that I did not agree to and I do not know who to talk to or what to do about it?,0,0,1,synthetic,crisis
SYN022,"I am pregnant and I am only 17, my boyfriend has disappeared and my parents are very strict, I am scared and I do not know what to do?",0,0,1,synthetic,crisis
SYN023,My uncle has been touching me in ways that make me uncomfortable and I am scared to tell anyone because no one will believe me?,0,0,1,synthetic,crisis
SYN024,I was forced to have sex by someone I trusted and I have been keeping it to myself for months because I am ashamed?,0,0,1,synthetic,crisis
SYN025,"I think I might be pregnant and if my family finds out they will throw me out of the house, I am panicking and do not know where to turn?",0,0,1,synthetic,crisis
SYN026,"Someone sent my private pictures to other people without my permission and now I am being threatened, I do not know what to do?",0,0,1,synthetic,crisis
SYN027,I feel like I cannot tell anyone about what happened to me because in my community this kind of thing is seen as the girl's fault?,0,0,1,synthetic,crisis
SYN028,"A man at my workplace has been forcing himself on me and threatening my job if I tell anyone, I am scared and need help?",0,0,1,synthetic,crisis
SYN029,"I have been in a relationship where my partner forces me to have sex even when I say no, I did not know this was wrong until recently?",0,0,1,synthetic,crisis
SYN030,"I am 16 and an older man has been giving me money and now he is pressuring me to do things I am not comfortable with, I feel trapped?",0,0,1,synthetic,crisis
SYN031,What happened to me last month was not my fault right? I said no but he did not stop and now I am afraid to talk about it with anyone?,0,0,1,synthetic,crisis
SYN032,"I think someone put something in my drink at a party and I woke up not knowing what happened, I am very confused and scared?",0,0,1,synthetic,crisis
SYN033,"I am three months pregnant and the person responsible is denying everything, my family does not know and I feel completely alone?",0,0,1,synthetic,crisis
SYN034,"My boyfriend beats me sometimes and also forces me to have sex with him, I am scared to leave because he says he will hurt me?",0,0,1,synthetic,crisis
SYN035,"I feel like my life is over since what happened to me, I have not been able to sleep or eat properly and I do not want to talk to anyone?",0,0,1,synthetic,crisis
SYN036,Someone in my family has been abusing me for a long time and I am finally ready to tell someone but I do not know how or where to start?,0,0,1,synthetic,crisis
SYN037,"I am a young girl and a teacher at my school has been making sexual advances towards me and touching me inappropriately, what do I do?",0,0,1,synthetic,crisis
SYN038,"I feel so ashamed about what happened that I have been thinking about hurting myself, I do not know who to talk to?",0,0,1,synthetic,crisis
SYN039,I was assaulted by a group of boys I know and I am too terrified to go to the police because they said they will do worse if I report?,0,0,1,synthetic,crisis
SYN040,I found out I am pregnant from an assault and I do not know what my options are or who can help me without judging me?,0,0,1,synthetic,crisis
SYN041,What exactly happens to a girl's body during puberty and is it normal for it to happen at different ages for different people?,1,0,0,synthetic,educational
SYN042,Can a girl get pregnant the very first time she has sex or does it take multiple times before pregnancy can happen?,1,0,0,synthetic,educational
SYN043,What is the difference between an STI and an STD and are they the same thing?,1,0,0,synthetic,educational
SYN044,How effective is the contraceptive injection compared to the pill and which one is better for someone my age?,1,0,0,synthetic,educational
SYN045,If a condom breaks during sex what are the steps I should take immediately afterwards?,1,0,0,synthetic,educational
SYN046,What does it mean when people say someone is HIV positive and can a person look healthy and still have HIV?,1,0,0,synthetic,educational
SYN047,Is it true that you cannot get pregnant during your period or is that just a myth?,1,0,0,synthetic,educational
SYN048,How long after unprotected sex can you still take the morning after pill and does it always work?,1,0,0,synthetic,educational
SYN049,What are the signs that someone might have a sexually transmitted infection even if they feel completely fine?,1,0,0,synthetic,educational
SYN050,Can STIs be cured completely or do some of them stay with you forever once you have them?,1,0,0,synthetic,educational
SYN051,What is consent and how do you know if you have properly given consent to something?,1,0,0,synthetic,educational
SYN052,Is it normal to feel pain during your first time having sex and how long does that usually last?,1,0,0,synthetic,educational
SYN053,What is the safest form of contraception for a young person who has never used contraception before?,1,0,0,synthetic,educational
SYN054,Can a person get an STI from oral sex or only from penetrative sex?,1,0,0,synthetic,educational
